Id,Predicted
0,21723.519591200507
1,35863.24166380115
2,147894.5149567739
3,80605.61168921101
4,26777.405451899365
5,75733.07094713525
6,83698.63115470884
7,210144.02804217298
8,63821.338032269596
9,66070.28366480191
10,50294.667157881784
11,111072.63534373444
12,104841.00083633325
13,84517.77543632637
14,70965.69411277512
15,17195.85677524602
16,75638.84447377468
17,47455.46148178489
18,130117.84971884055
19,105343.3393813998
20,125639.00737555591
21,63224.36843463199
22,34109.79888407236
23,36740.97097294246
24,85249.50281338624
25,104377.64648506492
26,117679.6326731428
27,40533.49920824389
28,68900.25897796084
29,207287.1211343048
30,34906.735100767604
31,74185.01918616782
32,142698.8523101306
33,37260.06335415482
34,68835.11453719108
35,77265.44044092718
36,57451.28593064609
37,25886.2004796422
38,63466.69185468112
39,90421.528810879
40,54664.0520062738
41,225246.62599613355
42,170100.12987016284
43,151193.8925195162
44,74102.96705613744
45,104507.7880491308
46,32510.90229347978
47,97151.44247570245
48,84178.31768267858
49,35988.79507137755
50,52517.30233088204
51,34472.53090629344
52,43460.50176157392
53,69901.33129527587
54,94252.92319179403
55,218155.49495956182
56,117864.30706658727
57,46653.854111589746
58,247878.17391016072
59,65793.97689839137
60,41302.84279648831
61,33230.222060747554
62,128796.18020514197
63,44738.2621900072
64,9768.326573175671
65,72849.44287915848
66,104877.3520255783
67,336231.9901751908
68,47645.786060092745
69,100912.59509916832
70,114337.55574652574
71,30749.653735011816
72,58561.60084072133
73,43984.9016595442
74,60162.66607477993
75,148056.11104550425
76,57504.98447766381
77,47294.31005557363
78,81083.89585918748
79,67346.42673287205
80,64307.04085540229
81,26466.093627223563
82,40040.07445546293
83,73913.35857956954
84,46284.188984299624
85,67234.9941901017
86,47270.56954333461
87,159677.1572259344
88,230025.79674923193
89,62754.43173789615
90,64832.379748092346
91,115029.7053058633
92,150860.62286957618
93,28958.751155966555
94,141794.06185374295
95,26061.501786450215
96,41192.79034256376
97,77696.89958352577
98,9215.008219426121
99,61311.135979674036
100,86347.00938879243
101,129102.46561672677
102,46689.91600900959
103,90258.7072627839
104,58511.998258270454
105,50528.04756552797
106,97695.00673588102
107,56956.364004686104
108,108408.07734142148
109,47004.05230546038
110,19035.757720977
111,56236.67629695561
112,74920.38047125422
113,98237.03828136141
114,62513.216611178155
115,116016.39398425966
116,70409.26704609187
117,319758.5368789638
118,210067.29964809018
119,227702.05188778808
120,32956.017624041226
121,171509.94978088484
122,20108.393589915428
123,77096.31506975925
124,38896.58157436631
125,259158.53352458152
126,21774.990388702878
127,51485.12308317174
128,52003.02836457513
129,59484.439375779366
130,112137.00155473624
131,795558.0681863382
132,44605.49151747504
133,149287.65487023536
134,97223.47162139548
135,9308.533095793462
136,42397.51215283764
137,64235.94839046989
138,39874.1160461267
139,70855.5611667793
140,134798.42449437865
141,577990.9092943645
142,532458.7949780334
143,169009.41907950342
144,31963.695477489215
145,45104.567127625916
146,132064.02774154814
147,96397.68903564863
148,46576.544248740734
149,18822.735106355354
150,84607.42927100921
151,18633.54695121625
152,80660.13228960017
153,85696.96613900049
154,112650.98437096142
155,86867.59036170825
156,48799.31249422695
157,51354.1190142673
158,279559.3591197965
159,102290.30525997379
160,87715.5169259415
161,98334.49534582892
162,48321.88684240698
163,55651.67387683051
164,12429.74733832933
165,130674.10355878233
166,70118.63046667472
167,49585.965029539606
168,25069.67326006389
169,37421.452140359026
170,20239.111766016737
171,24583.00464205673
172,61846.54773028284
173,2007479.230962897
174,35659.62191966804
175,201172.476343501
176,32015.183955317814
177,45690.65128040593
178,82090.94432783041
179,142923.6312239588
180,54282.25741109899
181,169908.8515992041
182,79213.49493243167
183,78101.31670274166
184,154817.4771951526
185,79626.4607954957
186,118190.96587102492
187,89760.55640210734
188,76476.81085605339
189,921253.9271489255
190,107265.19170474398
191,81856.22027977141
192,205095.8332392966
193,58521.80397805095
